asset_id,section_id,asset_type,install_date,codal_life_years,last_renewal_date,tonnage_carried_since_last_renewal
SIG_SEC_08_2,SEC_08,Signal,1999-12-04,18,2009-02-20,579.1
SIG_SEC_08_3,SEC_08,Signal,2018-09-10,18,2019-01-14,195.72
SIG_SEC_08_4,SEC_08,Signal,1999-09-02,18,2008-05-16,669.29
TRA_SEC_09_1,SEC_09,Track,2013-02-10,25,2019-07-03,192.67
TRA_SEC_09_2,SEC_09,Track,2012-08-30,25,2021-08-31,94.54
TRA_SEC_09_3,SEC_09,Track,2000-04-12,25,2008-03-10,641.37
OHE_SEC_09_1,SEC_09,OHE,2017-01-21,35,2019-07-16,196.01
OHE_SEC_09_2,SEC_09,OHE,2016-03-14,35,2019-09-20,184.32
SIG_SEC_09_1,SEC_09,Signal,2004-03-09,18,2012-07-23,476.26
SIG_SEC_09_2,SEC_09,Signal,2011-10-24,18,2020-01-26,167.01
SIG_SEC_09_3,SEC_09,Signal,2002-10-19,18,2009-11-21,611.18
SIG_SEC_09_4,SEC_09,Signal,2008-10-10,18,2016-02-12,334.25
TRA_SEC_10_1,SEC_10,Track,2006-01-01,25,2011-03-21,541.61
TRA_SEC_10_2,SEC_10,Track,2001-03-15,25,2016-01-25,309.54
TRA_SEC_10_3,SEC_10,Track,2017-02-14,25,2019-10-24,152.02
OHE_SEC_10_1,SEC_10,OHE,2009-09-09,35,2016-01-03,306.15
OHE_SEC_10_2,SEC_10,OHE,2007-03-09,35,2023-01-02,36.21
SIG_SEC_10_1,SEC_10,Signal,2002-07-20,18,2017-11-05,227.84
SIG_SEC_10_2,SEC_10,Signal,2008-07-22,18,2011-12-30,453.0
SIG_SEC_10_3,SEC_10,Signal,2006-07-18,18,2022-02-28,67.0
SIG_SEC_10_4,SEC_10,Signal,2008-05-17,18,2015-04-29,356.67
TRA_SEC_11_1,SEC_11,Track,2004-06-24,25,2004-12-09,478.12
TRA_SEC_11_2,SEC_11,Track,2012-07-17,25,2014-10-15,219.81
TRA_SEC_11_3,SEC_11,Track,2010-03-23,25,2022-06-17,34.89
OHE_SEC_11_1,SEC_11,OHE,1999-10-01,35,2003-08-24,528.87
OHE_SEC_11_2,SEC_11,OHE,2010-10-28,35,2021-04-21,62.8
SIG_SEC_11_1,SEC_11,Signal,2013-12-30,18,2018-04-13,149.15
SIG_SEC_11_2,SEC_11,Signal,2005-10-19,18,2019-02-09,133.51
SIG_SEC_11_3,SEC_11,Signal,2004-03-30,18,2014-10-19,235.22
SIG_SEC_11_4,SEC_11,Signal,2010-08-11,18,2020-04-22,89.68
TRA_SEC_12_1,SEC_12,Track,2003-11-05,25,2023-03-22,28.91
TRA_SEC_12_2,SEC_12,Track,2018-01-30,25,2023-04-13,30.88
TRA_SEC_12_3,SEC_12,Track,2004-12-05,25,2014-09-11,342.33
OHE_SEC_12_1,SEC_12,OHE,2009-03-03,35,2016-09-18,272.39
OHE_SEC_12_2,SEC_12,OHE,2010-04-29,35,2018-04-02,235.37
SIG_SEC_12_1,SEC_12,Signal,2006-04-20,18,2022-10-16,47.24
SIG_SEC_12_2,SEC_12,Signal,2006-06-26,18,2015-08-09,359.92
SIG_SEC_12_3,SEC_12,Signal,2005-10-29,18,2020-12-11,111.82
SIG_SEC_12_4,SEC_12,Signal,2006-02-25,18,2023-02-01,37.28
TRA_SEC_13_1,SEC_13,Track,2000-03-13,25,2010-11-04,514.64
TRA_SEC_13_2,SEC_13,Track,2006-02-19,25,2015-07-18,341.4
TRA_SEC_13_3,SEC_13,Track,2000-03-04,25,2015-01-03,392.95
OHE_SEC_13_1,SEC_13,OHE,2000-11-23,35,2019-01-28,180.08
OHE_SEC_13_2,SEC_13,OHE,2016-12-26,35,2023-05-21,22.74
SIG_SEC_13_1,SEC_13,Signal,2005-05-05,18,2022-05-21,62.36
SIG_SEC_13_2,SEC_13,Signal,2002-02-07,18,2023-02-19,36.79
SIG_SEC_13_3,SEC_13,Signal,2013-05-13,18,2022-04-21,70.59
SIG_SEC_13_4,SEC_13,Signal,2006-06-04,18,2009-09-22,597.9
TRA_SEC_14_1,SEC_14,Track,2002-12-07,25,2017-09-13,235.79
TRA_SEC_14_2,SEC_14,Track,2003-12-28,25,2007-10-05,713.47
TRA_SEC_14_3,SEC_14,Track,2010-10-01,25,2018-10-04,221.36
OHE_SEC_14_1,SEC_14,OHE,2012-03-09,35,2012-12-20,472.93
OHE_SEC_14_2,SEC_14,OHE,2010-06-03,35,2013-09-06,433.87
SIG_SEC_14_1,SEC_14,Signal,2016-12-09,18,2017-07-31,257.19
SIG_SEC_14_2,SEC_14,Signal,2002-06-22,18,2018-06-24,238.47
SIG_SEC_14_3,SEC_14,Signal,2011-03-21,18,2023-05-15,27.38
SIG_SEC_14_4,SEC_14,Signal,2017-03-05,18,2021-06-25,109.87
TRA_SEC_15_1,SEC_15,Track,1999-12-28,25,2010-11-20,336.54
TRA_SEC_15_2,SEC_15,Track,2010-01-12,25,2019-07-21,107.42
TRA_SEC_15_3,SEC_15,Track,2005-07-21,25,2009-12-30,370.55
OHE_SEC_15_1,SEC_15,OHE,2003-03-18,35,2021-08-26,58.7
OHE_SEC_15_2,SEC_15,OHE,2017-11-07,35,2020-05-25,89.08
SIG_SEC_15_1,SEC_15,Signal,2001-04-01,18,2017-12-29,138.73
SIG_SEC_15_2,SEC_15,Signal,2016-02-22,18,2017-11-24,156.22
SIG_SEC_15_3,SEC_15,Signal,2016-12-24,18,2022-12-15,27.27
SIG_SEC_15_4,SEC_15,Signal,2017-07-19,18,2018-08-10,140.42
TRA_SEC_16_1,SEC_16,Track,2017-05-17,25,2022-12-25,27.98
TRA_SEC_16_2,SEC_16,Track,2011-07-08,25,2019-01-22,131.29
TRA_SEC_16_3,SEC_16,Track,2000-01-22,25,2001-10-23,582.92
OHE_SEC_16_1,SEC_16,OHE,2011-06-24,35,2022-07-01,39.69
OHE_SEC_16_2,SEC_16,OHE,2007-11-01,35,2016-11-08,193.19
SIG_SEC_16_1,SEC_16,Signal,2016-10-11,18,2020-03-10,86.0
SIG_SEC_16_2,SEC_16,Signal,2009-08-18,18,2022-09-21,29.59
SIG_SEC_16_3,SEC_16,Signal,2016-08-26,18,2019-01-20,129.77
SIG_SEC_16_4,SEC_16,Signal,2007-05-03,18,2008-05-24,380.39
TRA_SEC_17_1,SEC_17,Track,2013-04-15,25,2014-08-18,354.16
TRA_SEC_17_2,SEC_17,Track,1999-09-27,25,2023-03-27,33.58
TRA_SEC_17_3,SEC_17,Track,2018-02-20,25,2018-09-21,212.35
OHE_SEC_17_1,SEC_17,OHE,1999-02-22,35,2021-09-14,92.9
OHE_SEC_17_2,SEC_17,OHE,1999-08-13,35,2011-01-03,533.24
SIG_SEC_17_1,SEC_17,Signal,2005-02-01,18,2016-05-13,313.24
SIG_SEC_17_2,SEC_17,Signal,2007-04-26,18,2009-05-09,532.66
SIG_SEC_17_3,SEC_17,Signal,2013-05-20,18,2013-11-19,436.29
SIG_SEC_17_4,SEC_17,Signal,2009-11-21,18,2015-01-22,341.75
